"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Fasting glucose"	"MMP-10_CVDI"	"Inverse variance weighted"	0.207241719971085	0.0800871248957041	0.00966181532895457	16
"Fasting glucose"	"MMP-12_CVDI"	"Inverse variance weighted"	0.0471087714583181	0.0751574748966674	0.530789766136572	16
"Fasting glucose"	"MMP-3_CVDI"	"Inverse variance weighted"	0.0109710081897506	0.0648750882064386	0.86571033731022	16
"Fasting glucose"	"MMP-7_CVDI"	"Inverse variance weighted"	-0.0624745973587037	0.0674146550273439	0.354071250779528	16
"Fasting glucose"	"MPO_CVDI"	"Inverse variance weighted"	0.0751603333349594	0.069744797997402	0.281190928556814	16
"Fasting glucose"	"NT-pro_BNP_CVDI"	"Inverse variance weighted"	0.0211771129955014	0.100034389350541	0.832342392386888	16
"Fasting glucose"	"OPG_CVDI"	"Inverse variance weighted"	-0.00871007147209085	0.0872389614580856	0.920470135813642	15
"Fasting glucose"	"PAPPA_CVDI"	"Inverse variance weighted"	-0.00147089391720657	0.0858051791113477	0.986323132435039	16
"Fasting glucose"	"PAR-1_CVDI"	"Inverse variance weighted"	0.0185240474410435	0.0659004216288993	0.778640231239383	16
"Fasting glucose"	"PDGF_subunit_B_CVDI"	"Inverse variance weighted"	-0.138137623385187	0.0821089957812025	0.0924973223119159	16
"Fasting glucose"	"PECAM-1_CVDI"	"Inverse variance weighted"	0.00998073324210296	0.0595672024896833	0.86693402747701	16
"Fasting glucose"	"PlGF_CVDI"	"Inverse variance weighted"	0.0891276081363845	0.0976857494060886	0.361562874126435	16
"Fasting glucose"	"PSGL-1_CVDI"	"Inverse variance weighted"	-0.0702205734096981	0.0808244458599708	0.384954537461515	16
"Fasting glucose"	"PTX3_CVDI"	"Inverse variance weighted"	0.00731456039512557	0.102101402014079	0.942888282081881	16
"Fasting glucose"	"RAGE_CVDI"	"Inverse variance weighted"	-0.00719323056173708	0.0969403192713365	0.940849121019785	16
"Fasting glucose"	"REN_CVDI"	"Inverse variance weighted"	0.103183297336981	0.0659004216288993	0.117408178714373	16
"Fasting glucose"	"RETN_CVDI"	"Inverse variance weighted"	-0.0477595338047921	0.0756019913560053	0.527567749037814	16
"Fasting glucose"	"SCF_CVDI"	"Inverse variance weighted"	-0.0298148731101499	0.106460510296633	0.779434768766276	16
"Fasting glucose"	"SELE_CVDI"	"Inverse variance weighted"	-0.0470440010665994	0.0595628084955024	0.429631880635067	16
"Fasting glucose"	"SIRT2_CVDI"	"Inverse variance weighted"	0.0335509824316275	0.0929518189411977	0.718136636918047	16
"Fasting glucose"	"SPON1_CVDI"	"Inverse variance weighted"	-0.00791718943678092	0.0903252293836266	0.93015324977431	16
"Fasting glucose"	"ST2_CVDI"	"Inverse variance weighted"	-0.0210873725806266	0.0673581980168417	0.754232651831386	16
"Fasting glucose"	"t-PA_CVDI"	"Inverse variance weighted"	-0.0359264660309304	0.0595672024896833	0.546425569559103	16
"Fasting glucose"	"TF_CVDI"	"Inverse variance weighted"	0.223174324142686	0.0893498874974061	0.0124981766332336	16
"Fasting glucose"	"TIE2_CVDI"	"Inverse variance weighted"	0.0799456054069025	0.0795973280452831	0.31519765909072	16
"Fasting glucose"	"TM_CVDI"	"Inverse variance weighted"	0.173860017655723	0.0784581892459278	0.0266944087994076	16
"Fasting glucose"	"TNF-R1_CVDI"	"Inverse variance weighted"	0.0483254047853446	0.0967727925423318	0.617518928851038	16
"Fasting glucose"	"TNF-R2_CVDI"	"Inverse variance weighted"	0.0685061750771772	0.0730290643903247	0.348209840589228	16
"Fasting glucose"	"TNFSF14_CVDI"	"Inverse variance weighted"	-0.0228751815095917	0.0827414422908376	0.782190301048899	16
"Fasting glucose"	"TRAIL_CVDI"	"Inverse variance weighted"	-0.0622047208768742	0.104465823425916	0.551539217049865	16
"Fasting glucose"	"TRAIL-R2_CVDI"	"Inverse variance weighted"	0.0941647260914359	0.0776113522851944	0.225020695895656	16
"Fasting glucose"	"TRANCE_CVDI"	"Inverse variance weighted"	0.15433744475154	0.0723671986637385	0.0329494344819346	16
"Fasting glucose"	"U-PAR_CVDI"	"Inverse variance weighted"	0.00868254793755319	0.0593349041798959	0.88365993415306	16
"Fasting glucose"	"VEGF-A_CVDI"	"Inverse variance weighted"	-0.0603602749773327	0.0916046483340756	0.509946159956174	16
"Fasting glucose"	"VEGF-D_CVDI"	"Inverse variance weighted"	0.0521072825188334	0.0660001597845061	0.42981844558481	16
