"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"MMP-3_CVDI"	"MMP-3"	"Ischemic stroke"	"Wald ratio"	0.0540932642487047	0.0213471502590674	0.011277498067756	1	"cis"
"MMP-7_CVDI"	"MMP-7"	"Ischemic stroke"	"Wald ratio"	-0.0268624641833811	0.0386819484240688	0.487403529676025	1	"cis"
"MPO_CVDI"	"MPO"	"Ischemic stroke"	"Wald ratio"	0.0861970217640321	0.0778923253150057	0.268459274268627	1	"cis"
"NT-pro_BNP_CVDI"	"NT-pro_BNP"	"Ischemic stroke"	"Wald ratio"	-0.0438265786993402	0.0485391140433553	0.366572271510342	1	"cis"
"OPG_CVDI"	"OPG"	"Ischemic stroke"	"Wald ratio"	-0.021486643437863	0.0586527293844367	0.714113896953589	1	"cis"
"PAPPA_CVDI"	"PAPPA"	"Ischemic stroke"	"Wald ratio"	0.0191489361702128	0.127659574468085	0.880764615259515	1	"cis"
"PAR-1_CVDI"	"PAR-1"	"Ischemic stroke"	"Wald ratio"	0.0635696821515892	0.0823145884270579	0.43995024987705	1	"cis"
"PSGL-1_CVDI"	"PSGL-1"	"Ischemic stroke"	"Wald ratio"	0.0138616148781333	0.0240267991220977	0.563991420617969	1	"cis"
"PTX3_CVDI"	"PTX3"	"Ischemic stroke"	"Wald ratio"	0.0708050436469447	0.108632395732299	0.514539418678323	1	"cis"
"PlGF_CVDI"	"PlGF"	"Ischemic stroke"	"Wald ratio"	-0.0748476936466493	0.0879025239338555	0.394499909818387	1	"cis"
"REN_CVDI"	"REN"	"Ischemic stroke"	"Wald ratio"	0.163911845730028	0.103994490358127	0.114989178446521	1	"cis"
"RETN_CVDI"	"RETN"	"Ischemic stroke"	"Wald ratio"	-0.117258079538046	0.109155257520723	0.282718676819501	1	"cis"
"SCF_CVDI"	"SCF"	"Ischemic stroke"	"Wald ratio"	0.277936962750716	0.154727793696275	0.0724474065953621	1	"cis"
"SELE_CVDI"	"SELE"	"Ischemic stroke"	"Wald ratio"	0.0960076045627376	0.0998098859315589	0.336097446345155	1	"cis"
"SPON1_CVDI"	"SPON1"	"Ischemic stroke"	"Wald ratio"	-0.0122270742358079	0.0449781659388646	0.785741463958966	1	"cis"
"ST2_CVDI"	"ST2"	"Ischemic stroke"	"Wald ratio"	-0.00697350069735007	0.0154966682163335	0.65271044057584	1	"cis"
"TF_CVDI"	"TF"	"Ischemic stroke"	"Wald ratio"	-0.066304347826087	0.0559782608695652	0.236228639816427	1	"cis"
"TIE2_CVDI"	"TIE2"	"Ischemic stroke"	"Wald ratio"	0.0188287076659738	0.0304438195378408	0.536263000225128	1	"cis"
"TM_CVDI"	"TM"	"Ischemic stroke"	"Wald ratio"	0.0785536159600997	0.0321695760598504	0.0146117929873451	1	"cis"
"TNF-R1_CVDI"	"TNF-R1"	"Ischemic stroke"	"Wald ratio"	-0.019411932629175	0.13388524122181	0.884719289075267	1	"cis"
"TNF-R2_CVDI"	"TNF-R2"	"Ischemic stroke"	"Wald ratio"	-0.112825971261309	0.077700904736562	0.146486370063102	1	"cis"
"TNFSF14_CVDI"	"TNFSF14"	"Ischemic stroke"	"Wald ratio"	-0.0222186954451674	0.0357086176797334	0.533795755724386	1	"cis"
"TRAIL_CVDI"	"TRAIL"	"Ischemic stroke"	"Wald ratio"	0.0038232795242141	0.0569243840271878	0.946451001639375	1	"cis"
"TRAIL-R2_CVDI"	"TRAIL-R2"	"Ischemic stroke"	"Wald ratio"	0.0185426154847105	0.0357839947950553	0.604331419146522	1	"cis"
"TRANCE_CVDI"	"TRANCE"	"Ischemic stroke"	"Wald ratio"	0.0596026490066225	0.0827814569536424	0.471524995558502	1	"cis"
"U-PAR_CVDI"	"U-PAR"	"Ischemic stroke"	"Wald ratio"	-0.0754325259515571	0.0961937716262976	0.432938804053985	1	"cis"
"VEGF-A_CVDI"	"VEGF-A"	"Ischemic stroke"	"Wald ratio"	0.00695691202872531	0.0228904847396768	0.761187645183173	1	"cis"
"hK11_CVDI"	"hK11"	"Ischemic stroke"	"Wald ratio"	0.00253751903139274	0.0299427245704343	0.932463513418651	1	"cis"
