"protein"	"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"	"test_set"
"KLK6_CVDI"	"KLK6"	"Bone mineral density"	"Inverse variance weighted"	0.0152927913376637	0.00987887866294589	0.121615297978498	2	"pan"
"LEP_CVDI"	"LEP"	"Bone mineral density"	"Inverse variance weighted"	0.120228974285274	0.156003033761227	0.440894515536504	2	"pan"
"LOX-1_CVDI"	"LOX-1"	"Bone mineral density"	"Inverse variance weighted"	-0.0193322852493906	0.0427884065864676	0.651404934423254	7	"pan"
"MB_CVDI"	"MB"	"Bone mineral density"	"Inverse variance weighted"	0.0257473713115802	0.0409996867739106	0.530010842189462	2	"pan"
"MCP-1_CVDI"	"MCP-1"	"Bone mineral density"	"Inverse variance weighted"	0.0236849592137593	0.02741743669365	0.387662150551326	4	"pan"
"MMP-1_CVDI"	"MMP-1"	"Bone mineral density"	"Inverse variance weighted"	0.00399591822201889	0.0142795993337292	0.779604820966833	5	"pan"
"MMP-10_CVDI"	"MMP-10"	"Bone mineral density"	"Inverse variance weighted"	-0.00406015530758516	0.0145553937709191	0.78028698126437	2	"pan"
"MMP-12_CVDI"	"MMP-12"	"Bone mineral density"	"Inverse variance weighted"	0.00406553278808448	0.00360248730157963	0.259094069804549	2	"pan"
"MMP-3_CVDI"	"MMP-3"	"Bone mineral density"	"Inverse variance weighted"	-0.0109399617762435	0.00377074352291661	0.00371648240061428	3	"pan"
"MMP-7_CVDI"	"MMP-7"	"Bone mineral density"	"Inverse variance weighted"	0.000808825372455052	0.00634258792077082	0.898526528689038	3	"pan"
"MPO_CVDI"	"MPO"	"Bone mineral density"	"Inverse variance weighted"	0.010071476802338	0.0157587252264354	0.522754762975798	9	"pan"
"NT-pro_BNP_CVDI"	"NT-pro_BNP"	"Bone mineral density"	"Inverse variance weighted"	0.0101705937794533	0.0088002356267672	0.247796380766875	1	"pan"
"OPG_CVDI"	"OPG"	"Bone mineral density"	"Inverse variance weighted"	0.0308711536034777	0.036262211046453	0.394585368072115	5	"pan"
"PAPPA_CVDI"	"PAPPA"	"Bone mineral density"	"Inverse variance weighted"	-0.0244075671884904	0.0167574066973915	0.145247784453312	11	"pan"
"PAR-1_CVDI"	"PAR-1"	"Bone mineral density"	"Inverse variance weighted"	0.00169497813292576	0.0217143836365916	0.937782034495315	2	"pan"
"PDGF_subunit_B_CVDI"	"PDGF_subunit_B"	"Bone mineral density"	"Inverse variance weighted"	-0.00326525259815262	0.00981156365546984	0.739288011639709	6	"pan"
"PECAM-1_CVDI"	"PECAM-1"	"Bone mineral density"	"Inverse variance weighted"	0.057605864160477	0.00579768601452937	2.90220783920896e-23	2	"pan"
"PSGL-1_CVDI"	"PSGL-1"	"Bone mineral density"	"Inverse variance weighted"	-0.0059280339848484	0.0113951479311694	0.602907181425915	6	"pan"
"PTX3_CVDI"	"PTX3"	"Bone mineral density"	"Inverse variance weighted"	-0.00479118448281015	0.0119295921312114	0.687962370207914	4	"pan"
"PlGF_CVDI"	"PlGF"	"Bone mineral density"	"Inverse variance weighted"	-0.101085695832935	0.0553134497400591	0.0676236310693345	2	"pan"
"RAGE_CVDI"	"RAGE"	"Bone mineral density"	"Inverse variance weighted"	-0.040771197600001	0.0281180200459006	0.147057839538424	11	"pan"
"REN_CVDI"	"REN"	"Bone mineral density"	"Inverse variance weighted"	-0.000965769422280021	0.0254512748199135	0.969730882477285	2	"pan"
"RETN_CVDI"	"RETN"	"Bone mineral density"	"Inverse variance weighted"	-0.00186119680721573	0.0137060778779292	0.891984499666704	8	"pan"
"SCF_CVDI"	"SCF"	"Bone mineral density"	"Inverse variance weighted"	0.0306041580212589	0.0220230202436712	0.164637006561599	13	"pan"
"SELE_CVDI"	"SELE"	"Bone mineral density"	"Inverse variance weighted"	0.0312124621639532	0.00828218914960398	0.000164149509644196	7	"pan"
"SIRT2_CVDI"	"SIRT2"	"Bone mineral density"	"Inverse variance weighted"	-0.0151674502402196	0.016493445435827	0.357779360287742	1	"pan"
"SPON1_CVDI"	"SPON1"	"Bone mineral density"	"Inverse variance weighted"	-0.0160248034934498	0.00804323144104803	0.046334423262317	1	"pan"
"ST2_CVDI"	"ST2"	"Bone mineral density"	"Inverse variance weighted"	0.00730451080869095	0.0157078192853469	0.641914367612464	6	"pan"
"TF_CVDI"	"TF"	"Bone mineral density"	"Inverse variance weighted"	0.0445851228576032	0.0323646970703405	0.16833143906465	4	"pan"
"TIE2_CVDI"	"TIE2"	"Bone mineral density"	"Inverse variance weighted"	0.00118409655448204	0.0132670621326114	0.928882555199945	6	"pan"
"TM_CVDI"	"TM"	"Bone mineral density"	"Inverse variance weighted"	-0.0120062293601992	0.0247681256354308	0.627857118237433	4	"pan"
"TNF-R1_CVDI"	"TNF-R1"	"Bone mineral density"	"Inverse variance weighted"	0.0106250069896172	0.0151497255237841	0.483095037046438	3	"pan"
"TNF-R2_CVDI"	"TNF-R2"	"Bone mineral density"	"Inverse variance weighted"	0.00567713207633743	0.0243572147041624	0.815700800080803	5	"pan"
"TNFSF14_CVDI"	"TNFSF14"	"Bone mineral density"	"Inverse variance weighted"	0.0019151721948897	0.00645392794794477	0.766661039319343	1	"pan"
"TRAIL_CVDI"	"TRAIL"	"Bone mineral density"	"Inverse variance weighted"	-0.0152514930527504	0.00815206108644374	0.0613623108454512	7	"pan"
"TRAIL-R2_CVDI"	"TRAIL-R2"	"Bone mineral density"	"Inverse variance weighted"	0.00766688991254755	0.00615360802233027	0.212794565960072	3	"pan"
"TRANCE_CVDI"	"TRANCE"	"Bone mineral density"	"Inverse variance weighted"	0.0393448335654785	0.0400758077692514	0.326217993609557	7	"pan"
"U-PAR_CVDI"	"U-PAR"	"Bone mineral density"	"Inverse variance weighted"	-0.0107976519319985	0.0162502487917967	0.506395484480514	6	"pan"
"VEGF-A_CVDI"	"VEGF-A"	"Bone mineral density"	"Inverse variance weighted"	-0.00907245846399322	0.0065809449371734	0.168019627225405	4	"pan"
"VEGF-D_CVDI"	"VEGF-D"	"Bone mineral density"	"Inverse variance weighted"	-0.0212742315514434	0.00969476131388755	0.0282063152970676	4	"pan"
"hK11_CVDI"	"hK11"	"Bone mineral density"	"Inverse variance weighted"	0.00896780604133545	0.0161286168521463	0.578198348150405	1	"pan"
"mAmP_CVDI"	"mAmP"	"Bone mineral density"	"Inverse variance weighted"	-0.0210968187438699	0.0213253362485789	0.322524099977682	4	"pan"
"t-PA_CVDI"	"t-PA"	"Bone mineral density"	"Inverse variance weighted"	-0.0210082677823906	0.0378898185414078	0.579266258468424	2	"pan"
